city,年份,年末常住总人口（万）,年末户籍总户数（万）,年末户籍总人口,男, 女,出生人数,死亡人数,出生率（‰）,死亡率（‰）,自然增长率（‰）,人口密度（按户籍人口计算）（人/平方公里）,人口密度（按常住人口计算）（人/平方公里）,城市就业人口（万人）,全市生产总值（按当年价计算）  （万元）,  第一产业（万元）,  第二产业（万元）,  第三产业（万元）,人均生产总值(按常住人口计算)（元）,第一产业比重,第二产业比重, 第三产业比重,医院,卫生机构病床数,卫生技术人员数,医生,护士 ,普通高等学校数,技工学校数,普通中学数,小学数,普通高等学校在校学生数,技工学校在校学生数,普通中学在校学生数, 小学在校学生数,普通高等学校教职工人数,技工学校教职工人数,普通中学教职工人数,小学教职工人数,社会消费品零售总额（万元）,批发和零售业商品销售额（万元）,住宿和餐饮业营业额（万元）,新签利用外资协议(合同)宗数/(签定合同项数),新签利用外资协议(合同)规定外商投资额/合同利用外资（万美元）,实际利用外资金额（万美元）,进出口总值（万美元）,进口总值（万美元）,出口总值（万美元）,城市留宿旅客（万人次）,国际（及港澳台）旅游（万人次）,国内旅游（万人次）,常住居民人均可支配收入,工资性收入,经营净收入,财产净收入,转移净收入,常住居民人均生活消费支出,食品烟酒（元）,衣着（元）, 居住（元）,生活用品及服务（元）,交通通信,教育文化娱乐（元）,医疗保健,其他用品和服务（元）,一般公共预算收入（亿元）,增值税,营业税,企业所得税,个人所得税,一般公共服务支出,教育支出,科学技术支出,社会保障和就业支出,农林水支出,交通运输支出,客运量（万人）,旅客周转量（万人公里）,货运量（万吨）,货物周转量（万吨公里）,港口货物吞吐量（万吨）,邮电业务总量（万元）,流动电话用户数目（万户）,R&D/GDP%
东莞,2020,1048.3599999999999,78.810000000000002,263.88,1294600,1344199.9999999998,34227,10986,13.380000000000001,4.29,9.0800000000000001,1073,4262,,96501925,302674,51930901,44268349,92176,0.29999999999999999,53.799999999999997,45.899999999999999,112,33720,58930,21812,27954,9,28,254,335,135279,83669,357275,842240,7828,5992,37355,47831,37401403,63552991,1055215,896,240618,8029172,1920.9104,725.60799999999995,1195.3024,1672.97,25,3852,56533,39621,5628,11604,-320,34260,11451,1861,7130,1978,6026,3263,1705,847,694.7509,2286633,,689542,274012,893751,2028916,341923,601528,328730,410236,831,114560,17139,5287710,19857,2562960,1552.3299999999999,
佛山,2011,761.45000000000016,113.3695,374.76510000000002,1865478,1882173,41752,19121,11.199999999999999,5.1299999999999999,6.0699999999999994,987,2004.9818447044206,445.13,62314035.260000005,1099977.1353738289,39285815.119999997,21928243.004626177,84130.278404449942,1.7652157026651669,63.044890217883143,35.189894079451683,82,24526,35815,12546,14727,3,14,178,423,44551,26617,323449,445475,2590,898,24283,22167,16978476,51626637,,236,325699,215440,608.97140000000002,218.03530000000001,390.93610000000001,980.64999999999998,125.13,855.51999999999998,,,,,,,,,,,,,,,341.73259999999999,619265,515749,328383,125718,602537,834638,128974,277605,262917,137528,35077.994699999996,1050960.24,23951.87024,1994549,5423.2799999999997,1289754.7105126013,900.01999999999998,1.8999999999999999
佛山,2012,796.29999999999995,114.06480000000001,377.64859999999999,1878773,1897713,45061,22547,11.98,5.9900000000000002,5.9900000000000002,994,2096.7457389692427,437.25,66429464.079999991,1196282.7274342717,41786114.939999998,23447066.412565723,85288.99255978172,1.800831519570302,62.902983666521251,35.296184813908447,83,25686,37710,13350,15597,3,13,189,411,45778,28522,318633,452779,2595,1085,25750,21416,18431215,53522571,2034697,155,330469,234984,610.57740000000001,209.08090000000001,401.49650000000003,1045.22,133.21000000000001,912.00999999999999,,,,,,,,,,,,,,,384.08030000000002,661429,517326,397531,103701,682877,966523,168320,319352,268497,180147,43119.914899999996,1175419.05,25199.056489999999,2158307,5253.0100000000002,1444401.0100846435,1050.6800000000001,2.2599999999999998
佛山,2013,824.06999999999994,115.9614,381.61270000000002,1898275,1917852,44373,18896,11.69,4.9800000000000004,6.7099999999999991,1005,2169.8672122471226,472.38999999999999,70642967.82079336,1227429.6500700167,43763853.140000001,25651685.030723348,87193.625925922315,1.7375114437204175,61.950756727859833,36.311731828419759,89,27073,39951,14355,16879,3,12,191,408,47297,19225,315613,463667,2726,970,26015,21631,20353001,60621321,2242885,205,353477,252089,639.35080000000005,214.11369999999999,425.2371,1118.77,134.56,984.20450000000005,,,,,,,,,,,,,,,438.21280000000002,784479,564339,386316,119466,743097,1024551,163697,343596,284179,383688,49351.986399999994,1252671,27650.08798,2407196,5474.4799999999996,1527204.4265452104,1238.51,2.3300000000000001
佛山,2014,849.60000000000002,116.2576,385.60840000000002,1917226,1938858,45523,20196,11.869999999999999,5.2599999999999998,6.5999999999999996,1015,2237.0905184330886,482.73000000000002,75099636.69484888,1261883.2118096603,47480886.82,26356866.663039215,89742.466190884559,1.6802787168425988,63.22385687820077,35.095864404956629,99,29821,41632,14954,17641,3,12,193,406,46706,18249,307769,474382,2769,1083,26581,22112,22955634,72770724,2410649,235,373217,265588,688.17560000000003,220.9752,467.19999999999999,1181.9200000000001,137.06999999999999,1044.8499999999999,24849.144413284906,23266.061579999998,4852.80638,4870.3762800000004,2150.5557600000002,24849.144413284906,8488.4525599999979,1113.2396800000001,5665.5947999999999,1244.9399100000001,3995.7352799999994,2872.5559600000001,897.05250999999987,571.52929999999992,501.19220000000001,922049,586729,415521,135045,786238,1057418,153760,385613,304043,485842,5975.6000000000004,600891.94999999995,29098.232510000002,2524452,5907.0100000000002,2228742,1265.1199999999999,2.48
佛山,2015,864.33999999999992,116.7976,388.97199999999998,1931219,1958501,56124,30208,14.49,7.7999999999999998,6.6900000000000004,1024,2275.9025643861301,494.45999999999998,81075978.4305996,1272881.5001948802,50033539.579999998,29769557.350404724,94607.720726045955,1.5699859870139672,61.711915845490928,36.718098167495114,102,33133,43641,15427,18945,3,12,199,407,49395,16951,306012,490146,2787,1120,27975,22927,25856323,85543312,2616903,238,289851,237728,657.12,175.06999999999999,482.05000000000001,1253.1400000000001,137.47989999999999,1115.6605999999999,27713.099999999999,25459.105492712999,5165.2034773020396,5503.2978140552495,2373.69369742971,27713.099999999999,9352,1223.8,6020.6000000000004,1354.2840000000001,4701,3455,1003.2139999999999,603,557.54690000000005,990869,690268,456157,148591,865120,1280022,302739,466134,329144,1079969,5731.1316999999999,551460.77000000002,28208.220655500001,2463621,6146.7452000000003,2828749.5666999999,1272.4400000000001,2.4500000000000002
佛山,2016,874.76999999999998,119.8998,400.18340000000001,1981403,2020431,60822,21625,15.41,5.4699999999999998,9.9400000000000013,1054,2303.3659049078542,506.14999999999998,87563093.790000007,1352101,53113316.560000002,33097676.230000004,100698.74106870756,1.5441448462781637,60.657195013438091,37.798660140283744,105,34798,47618,16534,21425,3,12,198,408,49994,16533,313354,512455,2810,1067,29247,23644,28587555,100366501,2862686,229,222797,147167,621.84000000000003,152.03999999999999,469.80000000000001,1351.05,139.75,1211.29,30561.599999999999,27381.200000000001,5759.6999999999998,6191.8000000000002,2608,30561.599999999999,10169,1330.8,6162.6000000000004,1417.7,5562,3985.3000000000002,1210,724.20000000000005,604.50009999999997,1212255,325221,486382,166407,910339,1244663,349559,596648,253409,315212,5890.3299000000006,634939.53000000003,29688.996618100002,2718059,6610,4502854.4790199995,1196.47,2.3199999999999998
佛山,2017,899.99000000000012,125.44629999999999,419.58699999999999,2068998,2126872,99018,27754,24.16,6.7800000000000002,17.379999999999999,1105,2369.7729468980651,517.28999999999996,93821575.61999999,1336475,54656989.088597499,37828111.531402491,105728.74712073745,1.4244857765052317,58.25631122415966,40.319202999335104,110,35273,51314,18134,23403,13,12,200,409,122005,16028,327678,543598,4714,992,30267,26873,31500053,118587554,2973104,316,158427,162349,642.61000000000001,177.77000000000001,464.83999999999997,1497.8099999999999,146.09,1351.72,32648,29508.780599999998,6449.2112800000004,6944.1025200000004,2911.1855999999998,32648,10624,1312,6706,1536,5929,4368,1400,773,661.58150000000001,1521648,,588264,221893,1140909,1402545,462621,797761,246910,193212,5972.9427999999998,666734.66000000003,31286.764068200002,2992385,7967.4022000000004,3606429.9542265269,1167.4300000000001,2.3700000000000001
佛山,2018,926.03999999999996,131.29409999999999,436.97669999999999,2144151,2225616,78611,23554,18.359999999999999,5.5,12.85,1150.6290616475148,2438.3654704446535,530.54999999999995,99767166,1445501,56635110,41686555,109272.20910937937,1.4488744723890423,56.767283536950416,41.783841990660534,120,37227,55398,20001,25444,13,12,203,413,124245,16399,342533,580066,4728,1049,32737,28619,34254363,134573792,3228038,751,867500,457288,697.66439109000009,162.05964166000001,535.60474943000008,1695.3099999999999,156.88999999999999,1538.4200000000001,34051.148753442401,31093.728410600001,7226.3071046860696,8188.6735215139297,3120.7909631999996,34051.148753442401,10902.813115118101,1287.8263710000001,6979.0500000000002,1663.4880000000001,6274.1215238720006,4533.5065761280002,1689.8800000000001,720.46316732430205,703.14179999999999,1596247,,643859,259986,1232680,1482310,546769,864425,186263,265906,6119.0230000000001,651793.30039999995,32410.983182600001,3237645,8973.0761999999995,6869296.2622672692,1299.97,2.5499999999999998
佛山,2019,943.1400000000001,140.7963,461.2756,2243678,2369078,67371,20532,15,4.5700000000000003,10.43,1215,2483.3916567266756,531.42999999999995,107397598.99999999,1603999,60885355,44908245,114914.13204685264,1.4935147665638226,56.691542052071398,41.814943181364796,127,38085,58215,20937,27108,13,13,212,417,129945,21106,356309,616570,5158,1538,35280,30463,36852690,147429494,3457827,702,1148963,511300,700.67057072000011,159.78694558000001,540.88362514000005,1932.8699999999999,101.16999999999985,1831.7,37160.304402675822,33846.719871472014,6761.3991894793162,9688.9796037669112,3745.5844449368233,37160.304402675822,11497.67,1351.4440590312499,8482.4200000000001,2009.1761259621101,6190.7264793643599,4726.7605435307696,2097.8799350379268,804.22725974941102,731.61559999999997,1661715,,761959,188968,1352691,1597130,981555,885203,232998,170088,5731.9173000000001,578811.05000000005,33637.070729000006,3365260,9636.2726000000002,10504898.453132,1288.3299999999999,2.6800000000000002
